H@Q@YiW: I?h]@eOWG, 
X????C??G?_C?P?a?_X??O?A??S??OOGCOGCAGA?___Cg??P_??: Y?HI?eO?G?C?_A??_G??HG???OW?W??@SG??O?OGg???P?@_??G?CO?_, Y?HQ@aO???CB_AO?`????B??B?GCO??aC??_?CCK?????E@?GC????I_, YCGA@CAGK?GAD??BOC??F????GA??O??KG????BGG?O???LCO??B???_, 
X????CCA?_?H?a?K?a?a?C_?G_?W?@??W_?QO?GC?C?o?_?O?O@: Y??W@e??G?GB_AO_g_?CP????OC??O??K_????BGO?O???LI???CG??_, 
X????CCA?_?H?a?K?a?a?C_?G_?W?@??W_?Q_?_C?@?G?_AO?OA: Y?HQ?eOGG??B_??@g???T?a??@gA??G?EG?????H???_??HA??@???c_, 
X????CCA?_@_C_?a?a?P?CO?@G?@_A?DA?D?G?@a??OO?A?G??B: Y?hW@eOGGC?A_???GO??C?AC?B??A???S?CA??@Q?A????F?B????K?_, 
X????CSE?_?Q?W@A@@?I?A_??B??H@??D??D_?AC??_C??@O??D: Y?HQ@aO???CB_AO?`????B??B?GCO??aC??_?CCK?????E@?GC????I_, 
X????G?????B?K?a_K_O?A??Q?@C??g?Cc?C_AAC?__GCA?OOA?: Y?@W@eO?K??Aa?OC??_?EO????_CO???[A?G?A@HO????C@G@????C@_, Y?GG@_O?KCCAA?OCgO?_@??`C?GG?_E?E??G?A??@?????F_??A?@?C_, Y?`O@AO?GCCB_AOC`??E?O_?P?@????@CG?????WG@????T??CC??B?_, 
X????G?????B?K?a_K_O?A??Q?@C??g?Cc?C_GAC?__G@A?OOA?: Y?@W@eO?K??Aa?OC??_?EO????_CO???[A?G?A@HO????C@G@????C@_, Y?GY@COGGC?B_?O@g???T???@?K@????KO??A?AC??O???L@?G????K_, Y?HW?cOG?CGA???BO@@?@a??@?W?C?@?C?A??C?[??C?C?DO_????o?_, 
X????G????_C?D?I?OX??C?@?OC@?_Q?QA?GH?@AG?_@@_?Co??: Y?HA?c?GGO?@_G??o@?_Bc??C@GG???GC`???g???_A???FO@??A??__, Y?_G@CO?G?GB?AO_g??CP_?__?G@??G@CP???C@@O?????F_??_D???_, Y?gG@CO?G?GB?AO_g??CP_?__?G???G@CP???C@?@?C???F_??_D???_, Y?gW@eOGG??B_??_g???O?_C?AI?A??OL?????C?G@????F?@?G??GC_, YC?A?EA??OGAD??Ao@@?`B???DIG??@_C_???O?H???A??BA??G?O?A_, YCHW@cAGKO?@?GO@????_O???AG??_?@K?C???KK?@????T?_A???o?_, 
X????G????_C?D?__DI??_??_?XC??`?DC?G`?C?e??@@_?AS??: Y?hI?eOGG??B_??@g???T?a??@g???G?C_?A???GA?????JC??C???a_, Y?hY@eOGG??B_??@_?G?S?a???o?????P??A???W??G???X??G_???E_, 
X????G????_O?D?J?KQ??_??_?W_?@C?CH?AP?ACG?_AP??AK??: Y?@O@eO?G?GA_A?_g??CP?B??@k????_C_??B??HO?????HA??_???H_, Y?HQ?eOGG??B_??@g???T?a??@gA??G?EG?????H???_??HA??@???c_, 
X????G??G??@?I?D?OY??_??_?WQ??c?DC?G`?C?b??CB??A`??: Y?@I@eOGG??B_??@g???T?a??@k???_?Cg?????G??C?_?BA??A???S_, Y?hI?e?GG??B_??@g???T?a??@h???G?C?_??O?G_?@???PC??O???D_, 
X????GA?oH@CCOA_A_?O?C?C?I??g@?AP??o_??c??GC??@O??D: Y?HY@cO????AA??COC??BO?C?oK???COE?G???_G?W????RG@????o?_, 
X????GAA_HAG?W?_@?Go?D???K??c@?A`??g_??c??GC??@O??D: Y?HQ?c??GC?B_AOCoC?A?a??_C?W????W_?????w@????ADC??A??K?_, 
X????GW@_E?_A?C?@?GCGC?_@_??_A??q?K?_?o@?@CC??_O??`: Y?gW@eOGGC?A???@__??T_?@??_?A???L??A??AIC?????J?B????a?_, 
X????KAE?OA@@GD?@??C@?O??_G?_A??q?H?_@G@?CCC??_O??`: Y?HA@_AGGOG?_G??o@?_@C??C@GO???GCB???C?WG?C?@_@_?A???S?_, 
X????KAE?OA@D?A??OGH??O??_G?_A?@a?I?_@O@??SC??_O??`: Y?_W@e?GG?GB_???__??P?_C?AI?A???D??_?A?WCA????hI???CG??_, 
X????KCE?OA@C?A_?_OD??O??_G?_A??q?I?_@O@?@CC??_O??`: Y??W@EO?G?GB_A?_g_?C@a??O?H?_???CG???O?X??@???hO?O??AC?_, 
X????KGC?G?BE?A_?S?B?CA?CO??G@??Y??aG?OA?C?o?A?O??`: Y?HY@cO????AA??COC??BO?C?oK???COE?G???_G?W????RG@????o?_, 
X????KI?GA?BB?D?B??c??A??OG?GC?@I?@GG?CA?C?C??PO??c: Y?hY?_O?GCC?_?OCoC?A??A_??p????_??K????w?GA??AP?o????B?_, 
X????KW?_G?O@@A?A?GOOCC??_?A?@?AO_?oO?_c?GCG@?__C@?: Y?GY@EOGGC?B_??@g_??DA????K?????KO?@??AGA?G???RO?O??AC?_, 
X????KW?_G@?C?A?_P?G_C@??_?A?@?@__@G_C?a?GCG@?__?`?: Y?@W@eO?G?GA_A?_g??CP?B??@kO?????_???C?X??A@??@???o???H_, 
X????KW?_G`?C@?_?_GO?C?C?_?A?@?@__@GOC?c?OCG?___?`?: Y?HQ?eOGG??B_??@g???T?a??@gA??G?EG?????H???_??HA??@???c_, 
X????KW?_G`?C@A??OGG?C?C?_?A?@?@__@GOA?c?_CG?___?`?: Y??W@e??G?GB_AO_g_?CP????OC??O??K_????BGO?O???LI???CG??_, 
X????KW?_OA@D?A??OGG_?O??_G?_A?@a?I?_@O@??SC??_O??`: Y?HA@_AGGOG?_G??o@?_@C??C@GO???GCB???C?WG?C?@_@_?A???S?_, 
X????OGCGa?_C@A_?o?@O?S?C??C?A??S_?S_?gC?I?C??OO?@@: Y?H??eO?G??B_AOC?_?CPG@??BK??@???K?????wO?C?G?HO_??C?G?_, 
X????OO@GE@?C@?g?g?S?D???K??c@?AP??o_??c??GC??@O??D: Y?_W@a?OGC??@??Bo??C@O?C?G_E????\???G@?HO??AC?@?D????_G_, 
X????OO@_G?P@?E?@C?CCCO?@_??_A??q?E?_AO@?@CC??_O??`: Y?gY@eOGGC?B??O@__??S_?_??G??G?@`??A???G??G_??H??GC???`_, 
X????OS?oG?CA@@_@O?a?CA??Q??W@?@`?@G_??c??GC??AO??B: Y?H?@_A?GO?@_G??o@?_Bc??C@GG???gDA??G??GE???A?BO@??A??__, 
X????SO@?P?K@_E?A_?C_?E??C???C?@a?AAO?P@??KC?@?O??`: Y??Y?EO??CCAP??Bo@A?`A???_KO??a?C_????@H??O?A?A?O?G???B_, 
X????SS?_C?_@?AA@A?_CC@??_?A?@?@__@GOA?c?_CG?O__@@?: Y??W?eO?G?GB_A?_g_?C@???_OK??OO?C`??A??I?A??@A@G??O??AC_, 
X????SS?gI@?C?B?AO??C?@C?K??c@?@P?@O_??c??GC??@O??D: YC?A?EA??OGAD??Ao@@?`B???DIG??@_C_???O?H???A??BA??G?O?A_, 
X????SS@?C@?C??`?_OOOCC??g?A_A?@Q?@OG?@a?C?O?_?G??B: Y?HQ?eOGG??B_??@g???T?a??@gA??G?EG?????H???_??HA??@???c_, 
X????SS@?C@_C_AAAA?@??O??GG?_a?@a?@GG?@a?C?O?_?G??B: Y?hW@eOGGC?A_???GO??C?AC?B??A???S?CA??@Q?A????F?B????K?_, 
X????SS@?C@_C_AAAA?@??O??GG?_a?CQ?COG?@a?@?O?G?G??B: YCGA?cAGGO?AC??BO??G@?@??AY??O?EDC???A?K@??CG?@B?????GC_, 
X????SS@?C@_C_AAAA?@??O??GG?_a?HA?B?G?@a??OO?A?G??B: Y?HI?aO?G?CAa??Co?A?B????GgA?O?GCO???a?H??O?@?H@??G?o??_, 
X????SS@?O?P?_@?A?G__A?_@??@?@?A`??gG@@A?CCO@?__C?_: Y?@O@eO?G?GA_A?_g??CP?B??@k????_C_??B??HO?????HA??_???H_, 
X????SS@?O?PCCE??o?@??O??GG?_a?IA?AOG?@a?@?O?@?G??B: Y?GA?CO?GC?B_?O@g_??Ta??P?@?_???K?_?B??K??@A_?@GO????AO_, 
X????SSA?_?Q@AA?A??G@?_O?_?A?A?DA?D?G?EA?OCOA?_G?@_: Y?@W@eO?G?GA_A?_g??CP?B??@kO?????_???C?X??A@??@???o???H_, 
X????SSA?_?Q@AA?A??G@?_O?_?A?A?DA?D?G?EA?_CO@?_G?@_: Y?@W@eO?G?GA_A?_g??CP?B??@kO?????_???C?X??A@??@???o???H_, 
X????WQ?_C?_A@@?@?G_OCC??_?A?@?@O_@OO?_c?GCG@?__C@?: Y?GW@eO?G?GB_A?_g_?C@????OC??O??K_????BGO?O???LO?O??AC?_, 
X????WQ?_G@OD?AAAA?@??O??GG?_a?AQ?COG?@a?@?O?O?G??B: Y?`A?CO?GCCB_AOC_C@A?G??O??W????[G?G@?@K?@??G?@C??@??K?_, 
X????cS?gI?o??A?b???O?CC?A?O?A??S_?S_?gC?I?C??OO?@@: Y?hW@eOGG?GA_A??_??CO?@??@I?@???C??o??AGCA??@?H??H????S_, 
X????cS?gI?oA?C?`???O?CC??_O?A??W_?Q_?WC?K?C??_O??`: Y?hW@eOGG?GA?A?__???P?@???I?@??OO?@C???k?C??OA@??H????S_, 
X????cSE???gAG?E?P?K?AA??C_?E@??D??D_?AC??_C??@O??D: Y?HQ@_O???CB?AO?`_?E@_?_?o?CO??aEG?????G@????@B_??A??@C_, 
X????cSE???gA_?E?D?K?AA??C_?E@??D??D_?AC??_C??@O??D: YCGA@cAGG?GAD??BOC??B???GGA??OG?CG??@?AG??W???L_A????c?_, 
X????gQ@GE?B?_C?@_?OC?@??@?O?C??i?A_O?Q@??SC??_O??`: Y?hW@eOGG?G?_A?__??C@?@??@A?@??OO??O??BG?g????X?A?G??H?_, 
X????gQA?S@?C@?A?A?H??o?C?_?a@??L??WG?GA?A?O?_@_?_C: Y?_W@c??G?GB?AO_g??CP_???OC@??G@C_????BH??GAC?@A??G??a?_, 
X????gWC??_S@C?Q@@?K?A_??B??H@??D??D_?AC??_C??@O??D: Y?gW@eOGGC?A??O@__??T_?`??g????G@??A???W?O????X?_?_???E_, 
X????oA@?C`?C@C?@?GK?@G?@G?@_C?C`?D?G?@a?@?O?@?G??B: Y?HY@eOG???B_??@g???T?a??@g????_CG?A???K??????J?G?C???a_, 
X????oAC?G?BA_AG?o?B?CA?CO??G@??Y??aO?O@?C?o?A?O??`: Y?@W@EO?G??A_A?@g???X?a??@kO??a?D???A??H?_????DG??C?_?@_, 
X????oEC?G?_?`A?@A?_A?a??_?A?@?@`?@GO?_`?GGOA?O_A@?: Y??W@eO?G?GB_A?_g_?C@???_OC??OO?C_??A?AG??W???LO?O??AC?_, 
X????oEC?G@AC_B??P?@??O??OG?Oa?KA?@OG?@a?@?O?@?G??B: Y??G@aO?KC?Ba?GCgO@??O@?G??C????kS????AIG?????b?O?_??K?_, 
X????oQBGM??????_?_GAC?_A?_OG@??o_?EO?OC?C?O?CAO@?A: Y?gW@eOGG?GB_??_g_??P?_??AI?A???G??O???W?OA??@C???c???B_, 
X???G??????@?O?D_DOO?C_?a??a?HA?P?OO_GCAGG?O`??AK??: Y?HY?cOG?CGA???Bo@??@A??@?W?C?@?C?A??C?[??C?C?D_?A?G?C?_, Y?gW@eOGG??B??O_G_??@?_C?I??G??CD??A?ACG?AA??@__?_????B_, 
X???G??????@?O?D_DO_?G??G?Wc?PC?`@C?_Q?AG_?Oc??AK??: Y?GQ@e?GGC?B_?O@g_??T_??O_?W????O??G??@O??C???FA??G???Q_, 
X???G??????@?O?D_DQC?__?S?@G??a?C`?COCAC@?_@B??AH??: Y??W@EO?G?GB_A?_g_?C@a??O?H?_???CG???O?X??@???hO?O??AC?_, Y?_W@e?GG??A_A??g?GCP?_O?GI????GC?C?@??i??@???hI???CG??_, 
X???G??????B?I?S_K__?A?@?G@?_?S?CS?CG_AAG?_OC@?_OC?: Y?GW@AOOG?C?@??Bo???`CO?G?k?O??Gd????o?IC????O@?a?????H_, Y?GY@EO?C?C?@??Bo???hCO?G?G@_??@L?O??_???C????FO??A?A?C_, Y?gW@eOGG??B_??_g???O?_C?AI?A??OL?????C?G@????F?@?G??GC_, YCGA@CAGK?GAD??BOC??F????GA??O??KG????BGG?O???LCO??B???_, 
X???G??????B?I?S_K`??G??O?GO?aC?EC?C_GAAA?_@P??DC??: Y?_W@c??G?GB?AO_g??CP_???OC@??G@C_????BH??GAC?@A??G??a?_, Y?gW@eOGG??B_??_G_??@?_??I??G??CD?@???EI??C?@A@??OO??B?_, Y?gW@eOGG??B_??_G_??@?_C?I??G??C@??A?ACG?AA??@`O?O????o_, 
X???G??????B?I?S_Kc??_??_?Q??_P?OP?GH??aG?G@P??Cc??: Y?gY@eOGGC?B_??@g_??D??O??W????OD??A???G??O???J??@C???a_, 
X???G??????E?S?I_H__?_??G?I?_PA?A?_OO_@?g?AC_A?Aa??: Y??G@c??G?GB?AO_g_?CP_?_?OC@??G?Cg????BH??GAC?@a???C??O_, Y?HQ?cOG?CG????Bo@@?@a??@?W?C?@?C?A??C?[??C?C?DB????D??_, Y?_W@CO?G?GB?AO_g??CP_??_?K???G@CP???C@?@?C???FI?????a?_, Y?gW?aOOGC?????Bo??C@O?C?G_E????\???G@?HA???_O@?D????_G_, YCGA?CAGK?GAD??B???O@??GK?H??O?Oe?_???oGG??AG?@O??A?OG?_, 
X???G??????K?K?Q_Ba??_??_?XA??`?CQ??AC?IG?OO_A?Aa??: Y?hI?eOGG??B_??@g???T?a??@g???G?C_?A???GA?????JC??C???a_, Y?hY?e?GG??B_??@g???T?a??@g???@?C_?????W_?????T?O?_???E_, 
X???G?????_C?O?D_DQ??_??_?WS??`?DC?G`?C?cG?CI??AQ??: Y?HY@eOG???B_??@g???T?a??@g????_CG?A???K??????J?G?C???a_, Y?hY@eOGG??B_??@_?G?S?a???o?????P??A???W??G???X??G_???E_, 
X???G?????_C?O?D_DQ??_??_?WS??`?DC?G`?C?cO?CI??AP??: Y?GI@eOGGC?B_??@g_??D_????G_?G??CC????AWO?A???dO?O??AC?_, Y?GY@e?GGC?B_??@g_??D???O?GO?O??E?????@W@?A??@DO?O??AC?_, 
X???G?????_C?O?D_DQ??_??_?WS??`?DC?G`?C?e??CI??AB??: Y?HI@eOGG??B_??@g???T?a??@k?????CO?????gO?????L@??O???E_, Y?hI?eOGG??B_??@g???T?a??@g???G?C_?A???GA?????JC??C???a_, 
X???G?????_C?O?D_DS??G??O?QC?GW?Q@?GOGC?c_?Cg??AB??: Y??G@c??G?GB?AO_g_?CP_?_?OC@??G?Cg????BH??GAC?@a???C??O_, Y??G@c??G?GB?AO_g_?CP_?_?OK@??G?C_?CCG?HO??A??@a??????P_, Y?HA?c?GGO?@_G??o@?_Bc??C@GG???GC`???g???_A???FO@??A??__, Y?_W@CO?G?GB?AO_g??CP_??_?K???G@CP???C@?@?C???FI?????a?_, Y?gW@eOGGC?B???@?O??DO?G?AG?O_?AA?A????yG?????HO?O???@@_, 
X???G??CGa?KA_B?AO?@O?S?C??O?A??S_?S_?WC?K?C??OO?@@: Y?gO@aOO?C??@??Bo??C@O?C?G_E????\???G@?GW???E?@?D????_G_, 
X???G?ICOO?E?O@A?P?A?B??O?O_C@??W_?QO?GC?A?o?O?O@?@: Y?HY@eOG???B_??@g???T?a??@g????_CG?A???K??????J?G?C???a_, 
X???G?KCOO?E?O?a?`?A?A_?O?O_C@??W_?QO?_C?A?o?C?O@?@: Y?hW@eOGGC?B_??@_???C??O?GY??OC@???o???I??????J??GA???c_, 
X???GCOB?@@@E??O?_Gc??O??_G?_A?@a?D?_A_@??SC??_O??`: Y?GY@COOGCC?@???p??a@?G??DC?O??CE??G?@?I??A?@G@?C?C??B?_, 
X???GOGCGa?O@?A?a?_@O?S?A??G?A??S_?S_@_C?B?C??OO?@@: Y?_W@a??GCCAO??Ao??C@O?C?G_E????\?O??@O?GC????FI???CG??_, 
X???GOGCGa?O@?A_A_?@O?S??A??GA??S_?S_@_C?B?C??OO?@@: Y?_W@a??GCC?O??Ao??C@O?C?G_E????[CA??D?I?_???g@I???CG??_, 
X???GOGCGa?_@?A_AO?@O?S??C??C@??T??S_?gC?I?G??OG?@@: Y?GW?e?O?CCAP??A`??_?_A??_S?@???W?o????xA????E@O_???@O?_, 
X???GOO?WD?_A@@?@?Ga?C_??K??c@?@`?@G_??c??GC??@O??D: Y?gW@eOGG??B_??_G_??@?_C?I??G??C@??A?ACG?AA??@`O?O????o_, 
X???GOO?_G?D?S?W@O?g?E???E??o@?@`?@G_??c??GC??@O??D: Y?gW@eOGG??B??O_G_??@?_C?I??G??CD??A?ACG?AA??@__?_????B_, 
X???GOO@GA@??`?g@_?a?CA??Q??W@?@`?@G_??c??GC??@O??D: Y?HQ?cOG?CG????Bo@@?@a??@?W?C?@?C?A??C?[??C?C?DB????D??_, 
X???GOO@GE@?C?A_A_?@G?O_?K??c@?@`?@G_??c??GC??@O??D: Y?HA@_A?GO?@_G??o@?_Bc??C@GG???GC@???C?Y?G?@??PGC???_?G_, 
X???GOO@GE@?C@?G?GGS?D???K??c@?AP??o_??c??GC??@O??D: Y?HA@_A?GO?@_G??o@?_Bc??C@GG???GC@???C?Y?G?@??PGC???_?G_, 
X???GOO@GE@?C@A_A_??W?C_?_?A?A?@I?@AG?@a??_O?@?G??B: Y?GA@?AGK?G?D??BOC??DP??GG?a??W????K???{_????I@?o???D??_, 
X???GOO@OC?CA@?g@_?a?CA??Q??W@?@`?@G_?@C??CC??@O??D: Y?H??eO?G??B_AOC?_?CPG@??BK??@???K?????wO?C?G?HO_??C?G?_, 
X???GOOAGa?O@?A?a?_?o?W?A??G?A??S_?S_?gC?I?C??OO?@@: Y?gW@eOGG?GA_A??g??CP?@??@_CA??OCC????@G??@??@HO??A??AC_, 
X???GOOCOG?K?_?E?@Oo?AG?A??G?@?@D?@C_?_c?GGC?@?O?C@: Y??Q@e?GGC?B_?O@g_??T_??O_?G????Kg????AGO?O???HA??_???D_, 
X???GSKD?c?D?S????GO@C?O?A_?I@??D??D_?AC??_G??@G??D: Y??W@eO?G?GB_A?_g_?C@???_OC??OO?C_??A?AG??W???LO?O??AC?_, 
X???GSKD?c?D?SA?A???@??O?A??GA??c_?K_?IC?A_C??OO?@@: Y?HA@_AGGOG?_G??o@?_@C??C@GO???GCB???C?WG?C?@_@_?A???S?_, 
X???GWA?W??BD?AGB??_??ACAG??G@??g_?g_?OA?C?G??Q_??a: Y?HY@cO?GCC?a?OC?@_?A?A??AC??O??M?_???BG?G???AH?C?A??K?_, 
X???GWQ??o?BAC??aA?B?@?OA???G@??o_?aO?@C??GO??QO?OA: Y?gY@eOGGC?B????__??D??@??k??O??D??@??aG?O???GH?@O???CA_, 
X???GWQC??_AE??@`?_B??a?C???O@??o_?aO?@C??GO??QO?OA: Y?GG@_O?KCCAA?OCgO?_@??`C?GG?_E?E??G?A??@?????F_??A?@?C_, 
X???G_B@OcB??E?G@_??IA????G??H??o_?c_?OA?C?G??Q_??a: Y?gW@eOGG?GA_??___??P?_C?AG?A??OK??_?@?A??C???FO??G?A?C_, 
X???G_BA?WB??C@OAO?@??CC?A???I?BA?E?_A@@??cC?@?O??`: Y?GA?cAGGO?A_G??o@?_Bc??C@I?G@A?DC???A??G????_BA??A???K_, 
X???G_BA?o@_@OC_?C??_??K?O???I?EA?CO_A@@?@CC?@?O??`: Y?hW@eOGG??A_A?_???C??@??@I?@??OS?A???KI?G???C`?AC???OG_, 
X???G_BB??b??A?@`?OI?C_??_??O@??o_?aO?@C??GO??QO?OA: Y?@?@cA?GOGA_G??o@?_Bc??C@GG???O?g?????wO?C??_HO_??GC??_, 
X???G_BE?O@_@OC_?C??O??K?O???I?EA?CO_A@@?@CC?@?O??`: Y??I@_A?GO?@_G??o@?_Bc??C@IG?@??C@???D?I?G?@??HGC???_?G_, 
X???G_C?_o?B?WAC@O??KCG?D????@??W_?Q_?GA?A?G??Q_??a: Y?gW@eOGKCGA?_?@????@O?G?AG?C???c?GO??G_?AA???FP?????P?_, 
X???G_CCGI???`A_B???o?W??C?O?A??W_?Q_?gC?I?C??_O??`: Y?H?@_AGGO?@_G??o@?_Bc??C@GG???GCB?????YC???A?BO@??A??__, 
X???G_CCGI?OC@A?@O??o?W??@?O?A??S_?S_?gC?I?C??OO?@@: Y?GG@e?O?CCAP??A`??_@_A??_S?????W?o????wg????CPO_???@O?_, 
X???G_CCGIA?A@?_@O??o?W??@?O?A??S_?S_?oC?H?C??OO?@@: Y?HA@?AGGO?@_G??o@?_Bc??C@GG???GCB?????Wa???A?BO@??A??__, 
X???G_G@OD?CA??oA_?o??@_?I??g@??p?@__?@C??CC??@O??D: Y?hW@eOGG??A_AO??O??W??_??q????G??@@??Gg?AO???X?a????B?_, 
X???G_GB???KCGAO?P?c?@A??W??GA??q?B?G?@c?@?G??OG??B: Y?H?@_A?GO?@_G??o@?_Bc??C@GG???gDA??G??GE???A?BO@??A??__, 
X???G_GCGQ?OA@@?A_??o?W??@?C?A??S_?S_?gC?I?C??OO?@@: Y?GI?cAGG??A_G??o@?_Bc??C@I?G@A?CC???B?A??@?@?@A??@???K_, 
X???G_GCGQ@??`@?A_??o?W??@?C?A??S_?S_?gC?I?C??OO?@@: Y?gW?_OOGC??@??Bo??C@O?C?G_E????\???G@?K@??CG?@?D????_G_, 
X???G_GCGQ@_???W?OO?o?@_Q??GC@??L??G_?CK?@?C?G?O??B: Y?_W@a?OGCC????Bo??C@O?C?G_E????[CA??C?I?C???_BI???CG??_, 
X???G_K?oo?gC_A??A?@???K?@???I?KA?@O_A@@?@CC?@?O??`: Y?_W@a??GCC?O??Bo??C@O?C?G_E????\?O?@??G?g???OBI???CG??_, 
X???G_O@GI??A@A_AO?@O?S??C?O?A??W_?Q_?gC?I?C??_O??`: Y?hW@eOGG?GA_A??_??C??@??@i?@???C??o??AWC???@?H?AC???OA_, 
X???G_O@GI?OA@?_B??@O?S??@?O?A??S_?S_?oC?H?C??OO?@@: Y?_W@a?OGCC????Bo??C@O?C?G_E????[CA??C?I?C???_BI???CG??_, 
X???G_O@GI?OA@A?AO?@O?S??@?O?A??S_?S_?gC?I?C??OO?@@: Y??W@e?O?CCAP??A`???@_A??_S?@???W?o????xO??A?A@O_???@O?_, 
X???G_O@OD@??@AG@G?g??__?Q??W@?@`?@G_?@C??CC??@O??D: Y?@W@eO?K??Aa?OC??_?EO????_CO???[A?G?A@HO????C@G@????C@_, 
X???G_OAGQ???`D?@_?@O?S??C?C?A??W_?Q_?gC?I?C??_O??`: Y?gW@eOGG??B_??_g_??@????AI?A??OGA?G???w?G???B@O??A?AC?_, 
X???G_OAGQ@?@@?_A_?@O?S??@?C?A??S_?S_?oC?H?C??OO?@@: Y?@G@cAGG??@_G??o@?_Bc??C@GC?@??CG?@?D?I??C?@?@O@??A??@_, 
X???G_OAGQ@?@@@?AO?@O?S??@?C?A??S_?S_?gC?I?C??OO?@@: Y?@G@CAGG??B_G??o@?_Bc??C@GC?@O?@??A?A?Ga?????XO@??A??C_, 
X???G_W?GIAOA??o@_??c?C??K??CP?@`?@G_??c??GC??@O??D: Y?hW@aOGGC?A_??@g???@?_??AG?OG?@OB?????w?A??@A@O??A?@C?_, 
X???GoBD?@AO?E?A@_??IA????G??H??o_?c_?OA?C?G??Q_??a: Y?@I@CAG?O?@_G??o@?_Bc??C@G?G@??CG?@?D?A??C???FCO???K??_, 
X???GoO?_A?cA??gA_?O_?A_?K??c@??p?@__??c??GC??@O??D: Y?@A@_AGGOG?_G??o@?_Bc??C@GG???O?g?????wO?C??_H?o???D??_, 
X???GoO?_P?_A_C??_G?g?O??_G?_A?E?_GG_?KC?GCC??_O??`: Y?GW@eO?G?GB_A?_g_?C@????OC??O??K_????BGO?O???LO?O??AC?_, 
X???GoO?o@?_AG?_A_?OO?@O?K??c@??p?@__??c??GC??@O??D: Y?HQ@_O???CAA??CoC??BO?C?oK???COE?G???_G?W????RB????o??_, 
X???GoO@GA?OA??gA_?OG?A_?K??c@??p?@__?@C??CC??@O??D: YCHG?C?GGOGAD??Bo??@@_G?A?O?P???[A??C??@A?????FO??G?O?C_, 
X???GoQ?Gg@??C?o?__OC?C??E??OP?@`?@G_?@C??CC??@O??D: Y?gW@eOGG??B_??_g_??P????AA?A??OGA?G???Y?G???B@??B????c_, 
X???O?O@OE?SAG@??GGg?E???I??g@?@`?@G_??c??GC??@O??D: Y?GA?CO?GC?B_?O@g_??Ta??P?@?_???K?_?B??K??@A_?@GO????AO_, 
X???OCS@_IA??WA@B???C?B??OO??@??W_?Q_?GA?A?G??Q_??a: Y?hW@eOGG?GA_??_g???@?B???g?O??ACA?O??_G?O?_??g??C_???B_, 
X???OCW@?_A_?E?O?o?OA?O??_G?_A?@a?E?_AO@??SC??_O??`: Y??Y?aO??CCA_?OCg?@A@_A???GOC?@_CG?C?@?H??G?@?B@?G??o??_, 
X???OGAB?`?C?OC@?o?Q?C?_?G??_C?@__AAO?PC?GGC?@?O??`: Y?hW@eOGGC?B_???g???@?@O?A??@???[?@A??@GC????ABO??A?AC?_, 
X???OGO?GD@G@??oB??G_C?_?K??c@??p?@__??c??GC??@O??D: Y?gW@eOGG?GA_A??g??CP?@??@_CA??OCC????@G??@??@HO??A??AC_, 
X???OGO?GWAG?c?W?o?o??C??I??GP?@`?@G_?@C??CC??@O??D: Y?gW@eOGG??B_??_g_??@????AI?A??OGA?G???w?G???B@O??A?AC?_, 
X???OGO?WWAGC_?G?o?OA?C??I??GP?@`?@G_??c??GC??AO??B: Y?_W@a??GCC?O??Bo??C@O?C?G_E????\?O?@??G?g???OBI???CG??_, 
X???OGO@GE@??@?WA_?o??__?Q??W@??p?@__??c??GC??@O??D: Y??G?EOG??GB_AO_g_?CPA??P?H???@?Cg???C?OA?C???F_?A?D???_, 
X???OGO@GE@??@?WA_?o??__?S??S@??p?@__??c??GC??@O??D: Y?hW@eOGG??A_AO??O??W??_??q????G??@@??Gg?AO???X?a????B?_, 
X???OGO@GaAOA??W?O??o?@_K???D@??L??G_?CK?@?C?G?O??B: Y?_W@a?OGCC????Bo??C@O?C?G_E????[CA??C?I?C???_BI???CG??_, 
X???OGO@_EA_?WAGB???C?B??OO??@??W_?Q_?GA?A?G??Q_??a: Y?hW@eOGG?GA_??_g???@?B???g?O??ACA?O??_G?O?_??g??C_???B_, 
X???OGO@_O?G?H?oA_?o??I??S??S@??p?@__??c??GC??@O??D: Y?@G@CAGG??B_G??o@?_Bc??C@GC?@O?@??A?A?Ga?????XO@??A??C_, 
X???OGOAGG?G?`?WA_?o??a??Q??W@??p?@__?@C??CC??@O??D: Y?_W@c??G?GB?AO_g??CP_???OC@??G@C_????BH??GAC?@A??G??a?_, 
X???OGOAGG?G?`?oA_?o??I??Q??W@??p?@__?@C??CC??@O??D: Y?HQ?cOG?CG????Bo@@?@a??@?W?C?@?C?A??C?[??C?C?DB????D??_, 
X???OGOAGK?G?@?oA_?o??G_?Q??W@??p?@__?@C??CC??@O??D: Y?gW?aOOGC?????Bo??C@O?C?G_E????\???G@?HA???_O@?D????_G_, 
X???OGOB?@?G?`?WA_?o??a??Q??W@??p?@__?@C??CC??@O??D: YC@G?cA?K?GA@??A_G??OG?GG?XO???@e?_??@O@?_????FO_??C?_?_, 
X???OGOC_O?K@GCO?O?W??AG?W??GA??q?B?G?@c?@?G??OG??B: Y?H?@c??GO?@_G??o@?_Bc??C@GG???gDA???C?H???_S?@O@??A??__, 
X???OGW?O@@?@_?oA_?_G?E??K??c@??p?@__?@C??CC??@O??D: Y?gG@aOOGC??@??Bo??C@O?C?G_E????\????@?H???a_?@?D????_G_, 
